City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,kapit,2.0167,112.9333,23.74,99,69,0.39,MY,1689709892
297,saint-pierre,-21.3393,55.4781,20.82,73,0,5.14,RE,1689710011
298,guarapari,-20.6667,-40.4975,26.61,78,53,2.54,BR,1689709987
299,ouled mimoun,34.9047,-1.0339,26.01,19,26,1.09,DZ,1689710011
300,koregaon,18.65,74.0833,22.21,89,100,7.82,IN,1689710012
301,dudinka,69.4058,86.1778,12.72,93,100,7.51,RU,1689710012
302,vilyuysk,63.7553,121.6247,8.49,84,22,1.85,RU,1689710012
303,praia da vitoria,38.7333,-27.0667,23.2,73,40,1.82,PT,1689709826
304,boguchany,58.3814,97.4531,11.69,67,0,0.42,RU,1689710013
305,holualoa,19.6228,-155.9522,26.91,68,40,1.79,US,1689709980
306,lagunas,-5.2269,-75.6753,31.78,52,51,0.75,PE,1689710013
307,kampene,-3.6,26.6667,25.09,38,38,0.81,CD,1689710014
308,kingston,17.997,-76.7936,30.53,75,75,9.26,JM,1689710014
309,midvagur,62.0511,-7.1939,8.46,93,100,8.75,FO,1689710014
310,kzyltu,53.6364,72.3414,23.18,49,100,5.87,KZ,1689710015
311,nguigmi,14.2495,13.1092,34.41,34,51,4.5,NE,1689710015
312,hotan,37.0997,79.9269,30.05,16,11,2.33,CN,1689710015
313,crane,31.3974,-102.3501,40.14,12,0,8.65,US,1689710015
314,timbuktu,16.7735,-3.0074,38.05,24,18,2.97,ML,1689710016
315,basoko,1.2391,23.616,23.86,84,100,0.28,CD,1689710016
316,labrador city,52.9463,-66.9114,23.95,46,75,6.69,CA,1689710016
317,sandakan,5.8402,118.1179,25.82,89,20,1.54,MY,1689710017
318,saint-pol-de-leon,48.6833,-3.9833,18.77,78,100,5.14,FR,1689710017
319,polyarnyy,69.1989,33.4478,15.31,76,97,2.65,RU,1689710017
320,san fernando de monte cristi,19.8667,-71.65,31.24,65,91,9.55,DO,1689710017
321,buta,2.7858,24.73,21.44,99,97,1.08,CD,1689710017
322,norfolk,42.1668,-71.2495,30.81,73,0,4.63,US,1689709845
323,fort mcmurray,56.7268,-111.381,23.77,53,0,2.57,CA,1689709782
324,sena madureira,-9.0656,-68.6569,31.94,49,94,1.64,BR,1689710018
325,pandan,14.0453,124.1694,25.64,85,34,0.31,PH,1689710018
326,merizo village,13.2658,144.6691,27.85,91,100,4.83,GU,1689710018
327,east london,-33.0153,27.9116,17.72,83,10,5.34,ZA,1689709755
328,thinadhoo,0.5333,72.9333,27.84,73,90,1.72,MV,1689710019
329,el granada,37.5027,-122.4694,30.59,71,75,7.2,US,1689710019
330,kosong,38.3788,128.4676,22.27,94,15,0.7,KR,1689710019
331,nanao,37.05,136.9667,26.29,93,100,5.07,JP,1689710019
